순번,road_address,도로종류,도로기능,도로규모,도로폭,시도구도구분
517,여의대방로44길,일반도로,국지도로,중로2류,폭15-20m,구도
518,여의도둔치선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
519,여의도선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
520,여의동로,일반도로,국지도로,중로1류,폭20-25m,구도
521,여의서로,일반도로,국지도로,중로1류,폭20-25m,구도
522,역삼로,일반도로,국지도로,중로1류,폭20-25m,구도
523,역촌~녹번선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
524,역촌~대조선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
525,연무장3길,일반도로,국지도로,중로1류,폭20-25m,구도
526,연서로,일반도로,국지도로,중로2류,폭15-20m,구도
527,연서로44길,일반도로,국지도로,중로2류,폭15-20m,구도
528,연서로46길,일반도로,국지도로,중로2류,폭15-20m,구도
529,영동대로,일반도로,국지도로,대로1류,폭35-40m,구도
530,영동대로3길,일반도로,국지도로,중로2류,폭15-20m,구도
531,영동대로4길,일반도로,국지도로,중로2류,폭15-20m,구도
532,영등포~당산선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
533,영등포로,일반도로,국지도로,중로2류,폭15-20m,구도
534,영신로9라길,일반도로,국지도로,중로2류,폭15-20m,구도
535,영신로9마길,일반도로,국지도로,중로2류,폭15-20m,구도
536,영신로9사길,일반도로,국지도로,중로2류,폭15-20m,구도
537,영신로9아길,일반도로,국지도로,중로2류,폭15-20m,구도
538,영중로,일반도로,국지도로,중로2류,폭15-20m,구도
539,오금로,일반도로,국지도로,중로2류,폭15-20m,구도
540,오류~대림선,일반도로,보조간선도로,대로1류,폭35-40m,특별시도
541,오리로15길,일반도로,국지도로,중로2류,폭15-20m,구도
542,오목로,일반도로,국지도로,중로2류,폭15-20m,구도
543,오목로4길,일반도로,국지도로,중로1류,폭20-25m,구도
544,오현로35길,일반도로,국지도로,중로2류,폭15-20m,구도
545,오현로36길,일반도로,국지도로,중로2류,폭15-20m,구도
546,온수~망우선,일반도로,주간선도로,대로2류,폭30-35m,특별시도
547,올림픽대로,일반도로,국지도로,대로3류,폭25-30m,구도
548,올림픽대로,자동차전용도로,도시고속도로,광로3류,폭40-50m,특별시도
549,올림픽로,일반도로,국지도로,중로2류,폭15-20m,구도
550,올림픽로33길,일반도로,국지도로,중로2류,폭15-20m,구도
551,올림픽로35가길,일반도로,국지도로,중로2류,폭15-20m,구도
552,올림픽로35길,일반도로,국지도로,중로2류,폭15-20m,구도
553,올림픽로35나길,일반도로,국지도로,중로2류,폭15-20m,구도
554,올림픽로35다길,일반도로,국지도로,중로2류,폭15-20m,구도
555,올림픽로4길,일반도로,국지도로,중로1류,폭20-25m,구도
556,왕산로,일반도로,국지도로,중로2류,폭15-20m,구도
557,왕산로34길,일반도로,국지도로,중로2류,폭15-20m,구도
558,왕십리광장로,일반도로,국지도로,대로2류,폭30-35m,구도
559,왕십리로,일반도로,국지도로,중로2류,폭15-20m,구도
560,외발산~방화선,일반도로,보조간선도로,대로1류,폭35-40m,특별시도
561,용답중앙5길,일반도로,국지도로,대로3류,폭25-30m,구도
562,용두~면목선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
563,용마산로,일반도로,국지도로,중로2류,폭15-20m,구도
564,용마산로125다길,일반도로,국지도로,대로1류,폭35-40m,구도
565,용마산로132길,일반도로,국지도로,중로2류,폭15-20m,구도
566,용마산로72길,일반도로,국지도로,대로2류,폭30-35m,구도
567,용산~서빙고선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
